total_return_pct,final_capital,trades,win_rate,profit_factor,avg_win,avg_loss,best_trade,worst_trade,max_drawdown,long_trades,short_trades,liquidated,st_period,st_mult,ao_fast,ao_slow,vol_threshold,sl_atr_mult,ts_activation,ts_trail_atr_mult
13.92,113.92,58,60.34,1.09,2.7002,-3.7595,7.9745,-6.8785,-47.33,32,26,False,7,2.0,5,21,1.3,4.0,3.0,2.0
13.73,113.73,62,45.16,1.16,3.4061,-2.4113,9.7706,-3.6459,-66.78,32,30,False,14,4.0,5,21,1.5,2.0,3.0,2.0
13.59,113.59,53,66.04,0.99,1.5479,-3.0313,4.3395,-6.9895,-37.03,26,27,False,14,2.0,7,21,1.3,4.0,1.5,1.5
13.56,113.56,43,60.47,1.01,2.8305,-4.2937,6.3474,-7.1054,-38.16,27,16,False,7,2.0,7,34,1.3,4.0,3.0,1.5
13.52,113.52,30,60.0,1.04,3.0504,-4.4082,8.2977,-6.8368,-41.19,19,11,False,7,2.0,7,34,1.5,4.0,3.0,2.0
13.45,113.45,34,64.71,0.87,2.3002,-4.8364,6.3474,-6.8368,-35.35,20,14,False,7,2.0,5,34,1.5,4.0,2.0,1.5
13.37,113.37,61,52.46,0.94,2.8075,-3.2886,6.1059,-5.0581,-53.74,36,25,False,14,2.0,7,34,1.0,3.0,3.0,2.0
13.32,113.32,49,55.1,1.01,2.8054,-3.4132,7.6523,-7.7853,-32.63,27,22,False,10,2.0,5,34,1.3,4.0,2.0,3.0
13.18,113.18,62,40.32,1.13,3.7349,-2.2368,9.4245,-3.6459,-59.9,32,30,False,14,4.0,5,21,1.5,2.0,3.0,3.0
13.14,113.14,62,58.06,0.91,2.8161,-4.3072,6.1059,-6.7442,-58.54,36,26,False,14,2.0,7,34,1.0,4.0,3.0,2.0
12.61,112.61,30,63.33,1.03,2.6753,-4.4765,8.2977,-6.8368,-40.29,19,11,False,7,2.0,7,34,1.5,4.0,2.0,2.0
11.94,111.94,50,62.0,1.01,2.5463,-4.1248,8.5397,-7.7853,-43.74,27,23,False,10,2.0,5,34,1.3,4.0,2.0,2.0
11.74,111.74,53,66.04,1.0,1.7886,-3.4638,3.8623,-6.4505,-28.86,27,26,False,10,2.0,7,21,1.3,4.0,2.0,1.5
11.66,111.66,52,55.77,0.94,2.9102,-3.8911,7.7287,-7.0565,-36.32,28,24,False,14,2.0,5,34,1.3,4.0,3.0,3.0
11.66,111.66,47,55.32,0.91,2.8711,-3.9056,7.6879,-6.8368,-38.68,27,20,False,7,2.0,5,34,1.3,4.0,3.0,3.0
11.54,111.54,44,61.36,1.07,2.7372,-4.0684,5.8641,-6.3801,-31.25,27,17,False,10,2.0,7,34,1.3,4.0,3.0,2.0
11.49,111.49,63,55.56,1.08,2.4978,-2.8961,8.5397,-4.8379,-58.67,35,28,False,10,2.0,5,21,1.3,3.0,3.0,2.0
11.23,111.23,42,61.9,1.11,1.9407,-2.8447,6.7477,-6.0845,-27.99,23,19,False,14,2.0,7,21,1.5,4.0,1.5,2.0
11.22,111.22,51,54.9,0.94,2.2313,-2.8907,7.5581,-6.9895,-28.53,25,26,False,14,2.0,7,21,1.3,4.0,2.0,3.0
11.0,111.0,61,45.9,1.02,2.6537,-2.2099,4.1761,-3.4393,-59.52,34,27,False,7,2.0,5,21,1.3,2.0,3.0,1.5
11.0,111.0,46,52.17,0.91,2.8298,-3.3806,6.3474,-6.4644,-41.15,27,19,False,7,2.0,5,34,1.3,3.0,3.0,1.5
10.95,110.95,44,56.82,1.03,2.862,-3.644,7.6523,-6.3801,-27.22,27,17,False,10,2.0,7,34,1.3,4.0,3.0,3.0
10.81,110.81,33,66.67,0.89,1.73,-3.9012,3.2987,-6.8785,-19.72,20,13,False,7,2.0,7,21,1.5,4.0,2.0,1.5
10.7,110.7,61,60.66,1.04,2.4834,-3.6863,6.9644,-6.4505,-53.75,33,28,False,10,2.0,5,21,1.3,4.0,3.0,1.5
10.47,110.47,63,42.86,0.94,2.8444,-2.275,6.1059,-3.4947,-52.51,37,26,False,14,2.0,7,34,1.0,2.0,3.0,2.0
10.4,110.4,68,60.29,0.98,2.3776,-3.6706,8.5397,-6.5631,-55.56,38,30,False,10,2.0,5,34,1.0,4.0,2.0,2.0
10.29,110.29,54,62.96,0.97,2.359,-4.1472,6.4312,-7.0565,-42.59,29,25,False,14,2.0,5,34,1.3,4.0,2.0,2.0
10.05,110.05,30,60.0,0.98,2.8902,-4.4082,6.3474,-6.8368,-39.6,19,11,False,7,2.0,7,34,1.5,4.0,3.0,1.5
9.84,109.84,43,55.81,0.99,3.0156,-3.8598,7.6879,-7.1054,-34.53,27,16,False,7,2.0,7,34,1.3,4.0,3.0,3.0
9.64,109.64,43,51.16,0.99,2.2373,-2.3786,7.5002,-4.5633,-28.99,24,19,False,14,2.0,7,21,1.5,3.0,2.0,3.0
9.61,109.61,34,58.82,0.87,2.6727,-4.4096,7.1267,-6.8368,-38.97,20,14,False,7,2.0,5,34,1.5,4.0,3.0,3.0
9.56,109.56,52,50.0,0.96,2.2921,-2.3919,7.5581,-5.2421,-32.62,26,26,False,14,2.0,7,21,1.3,3.0,2.0,3.0
9.5,109.5,40,55.0,0.91,1.9534,-2.6097,4.8697,-4.8379,-33.09,22,18,False,10,2.0,7,21,1.5,3.0,2.0,3.0
